Customer_Name,Days_Since_Last_Order,Total_Orders,Total_Lifetime_Value,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,CRM_Segment,CRM_Priority
Faiyaz Rattan,691,1,235756.75,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Kavya Rau,657,1,235236.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Ishita Bajwa,673,1,234651.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Tarini Bandi,626,1,234090.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Taran Buch,700,1,232833.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Diya Borah,611,1,232669.25,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Stuvan Majumdar,721,1,232402.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Dhanush Handa,515,1,232006.4,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Elakshi Kulkarni,506,1,231328.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Elakshi Kannan,675,1,228944.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Dhanush Mand,492,1,228927.2,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Aaryahi Lala,503,1,228556.5,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Riaan Loyal,509,1,226963.6,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Divij Doctor,491,1,226933.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Raghav Bhargava,679,1,226355.55,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Shaan Korpal,638,1,226190.25,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Priyansh Brar,579,1,224809.2,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Purab Gole,728,1,224043.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Suhana Mani,538,1,223760.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Kartik Bahl,591,1,223628.4,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Aaryahi Ben,645,1,223595.8,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Manikya Mann,633,1,223515.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Hunar Ganesan,726,1,223100.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Hiran Halder,578,1,221337.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Miraya Bhalla,581,1,221152.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Lavanya Ahuja,627,1,220609.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Shayak Ramesh,557,1,219096.6,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Rania Reddy,663,1,218196.0,1,1,2,1-1-2,At Risk — High Value,1 — Urgent
Aaryahi Madan,137,3,650151.9,3,3,3,3-3-3,Champion,2 — Protect
Vritika Cherian,240,3,176867.1,3,3,1,3-3-1,Champion,2 — Protect
Kimaya Vala,644,2,490935.0,1,2,3,1-2-3,Loyal Customer,3 — Reward
Badal Rao,489,2,485698.0,1,2,3,1-2-3,Loyal Customer,3 — Reward
Adira Dhingra,84,2,479389.0,3,2,3,3-2-3,Loyal Customer,3 — Reward
Sumer Mann,526,2,469937.0,1,2,3,1-2-3,Loyal Customer,3 — Reward
Nayantara Majumdar,315,2,459763.5,2,2,3,2-2-3,Loyal Customer,3 — Reward
Prerak Shere,261,2,451862.4,2,2,3,2-2-3,Loyal Customer,3 — Reward
Bhamini Sane,345,2,441410.6,2,2,3,2-2-3,Loyal Customer,3 — Reward
Samarth Wagle,326,2,427715.5,2,2,2,2-2-2,Loyal Customer,3 — Reward
Arhaan Basu,56,2,426563.6,3,2,2,3-2-2,Loyal Customer,3 — Reward
Reyansh Bahri,118,2,422780.0,3,2,2,3-2-2,Loyal Customer,3 — Reward
Arnav Karpe,50,2,404417.6,3,2,2,3-2-2,Loyal Customer,3 — Reward
Jayant Khurana,246,2,403114.6,2,2,2,2-2-2,Loyal Customer,3 — Reward
Jivika Magar,659,2,389687.15,1,2,2,1-2-2,Loyal Customer,3 — Reward
Anya Goyal,318,2,382043.2,2,2,2,2-2-2,Loyal Customer,3 — Reward
Fateh Madan,198,2,376668.0,3,2,2,3-2-2,Loyal Customer,3 — Reward
Trisha Lad,19,2,376296.2,3,2,2,3-2-2,Loyal Customer,3 — Reward
Riaan Bassi,163,2,370386.65,3,2,2,3-2-2,Loyal Customer,3 — Reward
Lakshay Arya,75,2,370085.4,3,2,2,3-2-2,Loyal Customer,3 — Reward
Shlok Venkataraman,521,2,366957.3,1,2,2,1-2-2,Loyal Customer,3 — Reward
Saanvi Sankar,180,2,364740.2,3,2,2,3-2-2,Loyal Customer,3 — Reward
Sana Borde,143,2,364381.9,3,2,2,3-2-2,Loyal Customer,3 — Reward
Lakshay Bobal,46,2,361399.0,3,2,2,3-2-2,Loyal Customer,3 — Reward
Aarush Bahl,431,2,361218.8,2,2,2,2-2-2,Loyal Customer,3 — Reward
Ayesha Grover,124,2,350353.6,3,2,2,3-2-2,Loyal Customer,3 — Reward
Aayush Setty,218,2,348992.1,3,2,2,3-2-2,Loyal Customer,3 — Reward
Keya Kalla,466,2,338311.0,2,2,2,2-2-2,Loyal Customer,3 — Reward
Eshani Kala,499,2,336961.4,1,2,2,1-2-2,Loyal Customer,3 — Reward
Vidur Hans,5,2,335577.1,3,2,2,3-2-2,Loyal Customer,3 — Reward
Amani Sachar,10,2,332537.85,3,2,2,3-2-2,Loyal Customer,3 — Reward
Ritvik Sandhu,537,2,330485.3,1,2,2,1-2-2,Loyal Customer,3 — Reward
Divij Kamdar,495,2,323719.1,1,2,2,1-2-2,Loyal Customer,3 — Reward
Akarsh Korpal,217,2,323552.0,3,2,2,3-2-2,Loyal Customer,3 — Reward
Shlok Sarna,189,2,315860.0,3,2,2,3-2-2,Loyal Customer,3 — Reward
Alisha Bhagat,30,2,315337.5,3,2,2,3-2-2,Loyal Customer,3 — Reward
Veer Dara,427,2,314969.5,2,2,2,2-2-2,Loyal Customer,3 — Reward
Anay Kamdar,274,2,312892.3,2,2,2,2-2-2,Loyal Customer,3 — Reward
Navya Sagar,6,2,311561.2,3,2,2,3-2-2,Loyal Customer,3 — Reward
Prerak Saha,133,2,311504.75,3,2,2,3-2-2,Loyal Customer,3 — Reward
Jayesh Ramachandran,430,2,311417.1,2,2,2,2-2-2,Loyal Customer,3 — Reward
Nitya Bandi,190,2,311170.5,3,2,2,3-2-2,Loyal Customer,3 — Reward
Kiaan Saini,375,2,309437.05,2,2,2,2-2-2,Loyal Customer,3 — Reward
Ehsaan Butala,64,2,308132.8,3,2,2,3-2-2,Loyal Customer,3 — Reward
Inaaya  Doshi,436,2,302672.0,2,2,2,2-2-2,Loyal Customer,3 — Reward
Piya Saha,208,2,298198.35,3,2,2,3-2-2,Loyal Customer,3 — Reward
Ishita Kaur,262,2,283527.0,2,2,2,2-2-2,Loyal Customer,3 — Reward
Aradhya Atwal,57,2,278720.5,3,2,2,3-2-2,Loyal Customer,3 — Reward
Pari Anand,341,2,278303.6,2,2,2,2-2-2,Loyal Customer,3 — Reward
Tushar Devan,34,2,276006.0,3,2,2,3-2-2,Loyal Customer,3 — Reward
Kismat Tara,289,2,275643.2,2,2,2,2-2-2,Loyal Customer,3 — Reward
Bhamini Chatterjee,399,2,265279.0,2,2,2,2-2-2,Loyal Customer,3 — Reward
Indrajit Mall,265,2,265155.2,2,2,2,2-2-2,Loyal Customer,3 — Reward
Trisha Sodhi,360,2,258191.0,2,2,2,2-2-2,Loyal Customer,3 — Reward
Nehmat Tiwari,393,2,253524.0,2,2,2,2-2-2,Loyal Customer,3 — Reward
Priyansh Mahajan,180,2,248181.6,3,2,2,3-2-2,Loyal Customer,3 — Reward
Kashvi Chaudry,245,2,245277.5,2,2,2,2-2-2,Loyal Customer,3 — Reward
Jivika Vohra,193,2,244895.2,3,2,2,3-2-2,Loyal Customer,3 — Reward
Zeeshan Roy,546,2,242606.85,1,2,2,1-2-2,Loyal Customer,3 — Reward
Manjari Mangal,124,2,238001.7,3,2,2,3-2-2,Loyal Customer,3 — Reward
Riya Varughese,135,2,236620.65,3,2,2,3-2-2,Loyal Customer,3 — Reward
Zaina Chokshi,170,2,234146.7,3,2,2,3-2-2,Loyal Customer,3 — Reward
Veer Bhardwaj,130,2,233452.1,3,2,2,3-2-2,Loyal Customer,3 — Reward
Yasmin Sekhon,153,2,232987.5,3,2,2,3-2-2,Loyal Customer,3 — Reward
Aniruddh Batra,450,2,232120.05,2,2,2,2-2-2,Loyal Customer,3 — Reward
Baiju Dara,218,2,231608.5,3,2,2,3-2-2,Loyal Customer,3 — Reward
Piya Sani,72,2,225484.2,3,2,2,3-2-2,Loyal Customer,3 — Reward
Jivin Sarkar,338,2,221427.2,2,2,2,2-2-2,Loyal Customer,3 — Reward
Yashvi Gade,213,2,220237.6,3,2,2,3-2-2,Loyal Customer,3 — Reward
Amani Andra,176,2,213082.8,3,2,1,3-2-1,Loyal Customer,3 — Reward
Adira Kale,33,2,211773.85,3,2,1,3-2-1,Loyal Customer,3 — Reward
Elakshi Mann,476,2,211433.9,2,2,1,2-2-1,Loyal Customer,3 — Reward
Dhanush Cheema,172,2,208944.0,3,2,1,3-2-1,Loyal Customer,3 — Reward
Damini Kumar,412,2,208352.0,2,2,1,2-2-1,Loyal Customer,3 — Reward
Purab Sarraf,18,2,207772.8,3,2,1,3-2-1,Loyal Customer,3 — Reward
Myra Chaudhuri,345,2,206776.0,2,2,1,2-2-1,Loyal Customer,3 — Reward
Divyansh Sarraf,619,2,204665.55,1,2,1,1-2-1,Loyal Customer,3 — Reward
Dharmajan Lal,58,2,203579.4,3,2,1,3-2-1,Loyal Customer,3 — Reward
Neysa Magar,445,2,200194.0,2,2,1,2-2-1,Loyal Customer,3 — Reward
Kashvi Choudhury,123,2,195012.55,3,2,1,3-2-1,Loyal Customer,3 — Reward
Nishith Tara,266,2,188378.0,2,2,1,2-2-1,Loyal Customer,3 — Reward
Pari Kalita,546,2,188160.8,1,2,1,1-2-1,Loyal Customer,3 — Reward
Taran Chaudhary,373,2,184785.75,2,2,1,2-2-1,Loyal Customer,3 — Reward
Saanvi Bala,166,2,183548.55,3,2,1,3-2-1,Loyal Customer,3 — Reward
Tiya Jayaraman,313,2,182318.6,2,2,1,2-2-1,Loyal Customer,3 — Reward
Kabir Deep,232,2,179642.55,3,2,1,3-2-1,Loyal Customer,3 — Reward
Jayesh Ratti,572,2,178885.95,1,2,1,1-2-1,Loyal Customer,3 — Reward
Uthkarsh Dara,190,2,177224.8,3,2,1,3-2-1,Loyal Customer,3 — Reward
Purab Batta,360,2,176627.6,2,2,1,2-2-1,Loyal Customer,3 — Reward
Kabir Sunder,79,2,172924.7,3,2,1,3-2-1,Loyal Customer,3 — Reward
Nitya Amble,309,2,171181.85,2,2,1,2-2-1,Loyal Customer,3 — Reward
Amira Chander,311,2,169255.55,2,2,1,2-2-1,Loyal Customer,3 — Reward
Ritvik Mangat,292,2,168832.9,2,2,1,2-2-1,Loyal Customer,3 — Reward
Zoya Sami,300,2,167884.95,2,2,1,2-2-1,Loyal Customer,3 — Reward
Shlok Singhal,459,2,166751.0,2,2,1,2-2-1,Loyal Customer,3 — Reward
Bhavin Som,187,2,163362.8,3,2,1,3-2-1,Loyal Customer,3 — Reward
Divij Bawa,485,2,160791.45,2,2,1,2-2-1,Loyal Customer,3 — Reward
Nitara Mani,130,2,160469.6,3,2,1,3-2-1,Loyal Customer,3 — Reward
Ritvik Dara,64,2,158398.9,3,2,1,3-2-1,Loyal Customer,3 — Reward
Nitara Srinivas,244,2,157872.6,2,2,1,2-2-1,Loyal Customer,3 — Reward
Anahi Date,20,2,154420.9,3,2,1,3-2-1,Loyal Customer,3 — Reward
Neelofar Goswami,350,2,152067.8,2,2,1,2-2-1,Loyal Customer,3 — Reward
Sumer Lal,438,2,152061.5,2,2,1,2-2-1,Loyal Customer,3 — Reward
Kabir Sundaram,197,2,149100.0,3,2,1,3-2-1,Loyal Customer,3 — Reward
Anahi Choudhry,490,2,144988.2,1,2,1,1-2-1,Loyal Customer,3 — Reward
Akarsh Kala,180,2,141832.8,3,2,1,3-2-1,Loyal Customer,3 — Reward
Uthkarsh Bahl,64,2,140996.0,3,2,1,3-2-1,Loyal Customer,3 — Reward
Mehul Roy,410,2,136223.1,2,2,1,2-2-1,Loyal Customer,3 — Reward
Fateh Dhar,320,2,135453.5,2,2,1,2-2-1,Loyal Customer,3 — Reward
Seher Lall,38,2,131173.0,3,2,1,3-2-1,Loyal Customer,3 — Reward
Seher Chopra,167,2,130784.3,3,2,1,3-2-1,Loyal Customer,3 — Reward
Ojas Konda,359,2,128686.3,2,2,1,2-2-1,Loyal Customer,3 — Reward
Neysa Chacko,110,2,127502.4,3,2,1,3-2-1,Loyal Customer,3 — Reward
Riaan Korpal,38,2,125814.8,3,2,1,3-2-1,Loyal Customer,3 — Reward
Dishani Lad,168,2,123130.8,3,2,1,3-2-1,Loyal Customer,3 — Reward
Biju Kadakia,253,2,122774.8,2,2,1,2-2-1,Loyal Customer,3 — Reward
Sana Borra,413,2,115418.0,2,2,1,2-2-1,Loyal Customer,3 — Reward
Indrans Sharma,163,2,114059.3,3,2,1,3-2-1,Loyal Customer,3 — Reward
Amira Chakraborty,260,2,112203.2,2,2,1,2-2-1,Loyal Customer,3 — Reward
Mohanlal Deshmukh,319,2,111766.6,2,2,1,2-2-1,Loyal Customer,3 — Reward
Nitya Basak,186,2,108563.15,3,2,1,3-2-1,Loyal Customer,3 — Reward
Baiju Sandhu,609,2,107595.2,1,2,1,1-2-1,Loyal Customer,3 — Reward
Urvi Chada,28,2,107356.15,3,2,1,3-2-1,Loyal Customer,3 — Reward
Bhamini Doshi,632,2,104283.6,1,2,1,1-2-1,Loyal Customer,3 — Reward
